"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"44",Discharge_CD4_C5,voi,-0.165,0.8479,0.4004,0.781733333333333
"45",Discharge_CD4_C6,voi,-0.04207,0.9588,0.8368,0.957717948717949
"46",Discharge_CD4_C7,voi,-0.273,0.7611,0.1088,0.3936
"47",Discharge_CD4_C8,voi,-0.0462,0.9549,0.8032,0.955534285714286
"48",Discharge_CD4_C9,voi,0.2667,1.306,0.1872,0.529324137931034
"49",Discharge_CD4_C10,voi,-0.02771,0.9727,0.8945,0.957717948717949
"50",Discharge_CD4_C11,voi,0.3786,1.46,0.04261,0.271483076923077
"51",Discharge_CD4_C12,voi,0.3605,1.434,0.03561,0.250287428571429
"52",Discharge_CD4_C13,voi,-0.1563,0.8553,0.5489,0.926757692307692
"53",Discharge_CD4_C14,voi,-0.4424,0.6425,0.009832,0.1209336
"54",Discharge_CD4_C15,voi,0.2768,1.319,0.1174,0.406766197183099
"55",Discharge_CD4_C16,voi,0.3013,1.352,0.0715,0.29315
"56",Discharge_CD4_C17,voi,0.33,1.391,0.05915,0.285311764705882
"57",Discharge_CD4_C18,voi,0.3903,1.477,0.02892,0.22755
"58",Discharge_CD8_C1,voi,0.02999,1.03,0.8887,0.957717948717949
"59",Discharge_CD8_C2,voi,-0.3025,0.739,0.05493,0.285311764705882
"60",Discharge_CD8_C3,voi,-0.2462,0.7818,0.1453,0.444
"61",Discharge_CD8_C4,voi,0.5221,1.686,0.002033,0.0464492727272727
"62",Discharge_CD8_C5,voi,-0.3457,0.7077,0.04304,0.271483076923077
"63",Discharge_CD8_C6,voi,0.6685,1.951,0.0001767,0.0144894
"64",Discharge_CD8_C7,voi,0.6068,1.835,0.0007501,0.0221290666666667
"65",Discharge_CD8_C8,voi,0.03327,1.034,0.8712,0.957717948717949
"66",Discharge_CD8_C9,voi,-0.2311,0.7937,0.2623,0.638869306930693
"67",Discharge_CD8_C10,voi,-0.129,0.879,0.5268,0.910544055944056
"68",Discharge_CD8_C11,voi,0.1935,1.214,0.2826,0.652127777777778
"69",Discharge_CD8_C12,voi,-0.008069,0.992,0.9681,0.989103734439834
"70",OneYear_CD4_C1,voi,-0.03923,0.9615,0.8621,0.957717948717949
"71",OneYear_CD4_C2,voi,-0.5161,0.5968,0.01838,0.167016428571429
"72",OneYear_CD4_C3,voi,0.4809,1.618,0.01601,0.1575384
"73",OneYear_CD4_C4,voi,0.2322,1.261,0.3226,0.702297345132743
"74",OneYear_CD4_C5,voi,-0.02307,0.9772,0.9226,0.965785531914894
"75",OneYear_CD4_C6,voi,-0.3589,0.6984,0.09363,0.349096363636364
"76",OneYear_CD4_C7,voi,-0.3434,0.7093,0.06184,0.292550769230769
"77",OneYear_CD4_C8,voi,0.05943,1.061,0.7983,0.955534285714286
"78",OneYear_CD4_C9,voi,0.4084,1.504,0.04822,0.285311764705882
"79",OneYear_CD4_C10,voi,0.06587,1.068,0.755,0.952461538461538
"80",OneYear_CD4_C11,voi,0.3761,1.457,0.05624,0.285311764705882
"81",OneYear_CD4_C12,voi,0.4926,1.637,0.01044,0.122297142857143
"82",OneYear_CD4_C13,voi,-0.04304,0.9579,0.8399,0.957717948717949
"83",OneYear_CD4_C14,voi,-0.334,0.7161,0.112,0.3936
"84",OneYear_CD4_C15,voi,0.2015,1.223,0.3102,0.693454054054054
"85",OneYear_CD4_C16,voi,0.393,1.481,0.05268,0.285311764705882
"86",OneYear_CD4_C17,voi,0.1224,1.13,0.5808,0.926757692307692
"87",OneYear_CD4_C18,voi,0.5554,1.743,0.002077,0.0464492727272727
"88",OneYear_CD8_C1,voi,-0.1823,0.8333,0.3793,0.7634
"89",OneYear_CD8_C2,voi,0.1016,1.107,0.6816,0.947291191709845
"90",OneYear_CD8_C3,voi,0.3988,1.49,0.06768,0.29315
"91",OneYear_CD8_C4,voi,0.6425,1.901,0.0008096,0.0221290666666667
"92",OneYear_CD8_C5,voi,0.09522,1.1,0.6689,0.947291191709845
"93",OneYear_CD8_C6,voi,0.6785,1.971,0.0003718,0.0221290666666667
"94",OneYear_CD8_C7,voi,0.7641,2.147,0.0006344,0.0221290666666667
"95",OneYear_CD8_C8,voi,0.05757,1.059,0.7945,0.955534285714286
"96",OneYear_CD8_C9,voi,-0.2372,0.7889,0.2766,0.652127777777778
"97",OneYear_CD8_C10,voi,0.08238,1.086,0.6907,0.947291191709845
"98",OneYear_CD8_C11,voi,0.347,1.415,0.09366,0.349096363636364
"99",OneYear_CD8_C12,voi,-0.07907,0.924,0.7428,0.947291191709845
"100",Birth_TPHE_C1,voi,0.5808,1.788,0.01532,0.15703
"101",Birth_TPHE_C2,voi,-0.3831,0.6818,0.04589,0.2822235
"102",Birth_TPHE_C3,voi,0.07156,1.074,0.7364,0.947291191709845
"103",Birth_TPHE_C4,voi,0.3492,1.418,0.0692,0.29315
"104",Birth_TPHE_C5,voi,-0.311,0.7327,0.1528,0.448364285714286
"105",Birth_TPHE_C6,voi,-0.4078,0.6651,0.07067,0.29315
"106",Birth_TPHE_C8,voi,0.3688,1.446,0.08443,0.329679047619048
"107",Birth_TPHE_C9,voi,0.6354,1.888,0.002449,0.0471441428571429
"108",Birth_TPHE_C10,voi,0.2196,1.246,0.1946,0.538193333333333
"109",Birth_TPHE_C11,voi,0.05587,1.057,0.812,0.955534285714286
"110",Birth_TPHE_C12,voi,-0.1711,0.8427,0.3938,0.7795248
"111",Birth_TPHE_C13,voi,-0.1909,0.8262,0.3492,0.740544827586207
"112",Birth_TPHE_C14,voi,-0.1194,0.8874,0.5361,0.9158375
"113",Birth_TPHE_C15,voi,-0.2235,0.7997,0.2532,0.631648484848485
"114",Birth_TPHE_C16,voi,0.1284,1.137,0.4787,0.885415037593985
"115",Birth_TPHE_C17,voi,-0.08756,0.9162,0.6508,0.947291191709845
"116",Birth_TPHE_C18,voi,-0.3609,0.697,0.05508,0.285311764705882
"117",Birth_TPHE_C20,voi,-0.1751,0.8394,0.3817,0.7634
"118",Birth_TPHE_C21,voi,-0.1808,0.8346,0.3255,0.702394736842105
"119",Birth_TPHE_C22,voi,-0.1369,0.8721,0.6152,0.932536196319018
"120",Birth_TPHE_C23,voi,0.07218,1.075,0.7384,0.947291191709845
"121",Birth_TPHE_C24,voi,-0.04328,0.9576,0.8471,0.957717948717949
"122",Birth_TPHE_C25,voi,-0.3652,0.694,0.1379,0.429410126582279
