term,estimate,std.error,statistic,p.value,response,voi,produced_warning
voi,0.3246181981063093,0.08663737562189806,3.7468609335883474,3.1050981022522875e-4,NAS_1,Discharge_TPHE_C5,TRUE
anova,NA,NA,NA,2.676941438439059e-4,NAS_1,Discharge_TPHE_C5,NA
(Intercept),-2.1363245729302114,0.12604369030268106,-16.949079861118364,3.4361378008210376e-30,NAS_1,Discharge_TPHE_C6,TRUE
MODVaginal,-0.43172576446587574,0.20192354965064133,-2.138065447110193,0.035133111363844345,NAS_1,Discharge_TPHE_C6,TRUE
voi,0.11900594683334206,0.09022988572448085,1.3189194010145333,0.19043451788559587,NAS_1,Discharge_TPHE_C6,TRUE
anova,NA,NA,NA,0.2004753045030655,NAS_1,Discharge_TPHE_C6,NA
(Intercept),-2.1490392313442745,0.12921874284675366,-16.63101794677663,1.2982987536675443e-29,NAS_1,Discharge_TPHE_C8,TRUE
MODVaginal,-0.42263465718270715,0.20445783092798403,-2.067099387998356,0.04150365272910175,NAS_1,Discharge_TPHE_C8,TRUE
voi,-0.16402654056250407,0.11173800335708668,-1.4679566095191114,0.14549008184048728,NAS_1,Discharge_TPHE_C8,TRUE
anova,NA,NA,NA,0.12543319321027246,NAS_1,Discharge_TPHE_C8,NA
(Intercept),-2.1238977834647748,0.12576645003581613,-16.88763404596317,4.4377591817619874e-30,NAS_1,Discharge_TPHE_C9,TRUE
MODVaginal,-0.44350983283375,0.20303979707579448,-2.1843492715282236,0.03145107755418557,NAS_1,Discharge_TPHE_C9,TRUE
voi,-0.08041132322207364,0.11930710750330724,-0.673986025684552,0.5019919877411858,NAS_1,Discharge_TPHE_C9,TRUE
anova,NA,NA,NA,0.4784573064833047,NAS_1,Discharge_TPHE_C9,NA
(Intercept),-2.1981828487083845,0.13653789366651764,-16.099434301200382,1.2322760341530898e-28,NAS_1,Discharge_TPHE_C10,TRUE
MODVaginal,-0.4168524415629616,0.20145020530006458,-2.06925796348557,0.04129612094916113,NAS_1,Discharge_TPHE_C10,TRUE
voi,-0.5660310006113417,0.3555659510832242,-1.591915645710564,0.1147971657413238,NAS_1,Discharge_TPHE_C10,TRUE
anova,NA,NA,NA,0.03764747879025867,NAS_1,Discharge_TPHE_C10,NA
(Intercept),-2.133295695288386,0.1258932147948969,-16.945279368422796,3.490886798333888e-30,NAS_1,Discharge_TPHE_C11,TRUE
MODVaginal,-0.4209301343833497,0.20245704298211892,-2.0791083786624625,0.040360373348356716,NAS_1,Discharge_TPHE_C11,TRUE
voi,0.07533640081090333,0.09056725632780824,0.8318282331334316,0.40763671134952095,NAS_1,Discharge_TPHE_C11,TRUE
anova,NA,NA,NA,0.4197214524100951,NAS_1,Discharge_TPHE_C11,NA
(Intercept),-2.2049632973494555,0.1304711000034412,-16.90001308558983,4.2146920487941686e-30,NAS_1,Discharge_TPHE_C12,TRUE
MODVaginal,-0.34186154686022874,0.20307131218440422,-1.6834556451272271,0.09564096842885979,NAS_1,Discharge_TPHE_C12,TRUE
voi,0.21319155188308037,0.0739760148973309,2.8819010077653218,0.004908491857090209,NAS_1,Discharge_TPHE_C12,TRUE
anova,NA,NA,NA,0.007073052530606536,NAS_1,Discharge_TPHE_C12,NA
(Intercept),-2.130642489801642,0.12432370170744687,-17.137862374910434,1.570568516078616e-30,NAS_1,Discharge_TPHE_C13,TRUE
MODVaginal,-0.43678755719529655,0.19994491456366845,-2.1845394675252434,0.03143666856675248,NAS_1,Discharge_TPHE_C13,TRUE
voi,-0.1521381370557795,0.10052194872560488,-1.5134817717379465,0.13354845948870184,NAS_1,Discharge_TPHE_C13,TRUE
anova,NA,NA,NA,0.12592915411896602,NAS_1,Discharge_TPHE_C13,NA
(Intercept),-2.2074669731873775,0.1289494986310276,-17.11884882549067,1.699076747957647e-30,NAS_1,Discharge_TPHE_C14,TRUE
MODVaginal,-0.3414403101788559,0.20071708736669922,-1.7011023558500677,0.09226517818124373,NAS_1,Discharge_TPHE_C14,TRUE
voi,0.22458311534661266,0.07117679631451543,3.1552855280845553,0.002160563084975297,NAS_1,Discharge_TPHE_C14,TRUE
anova,NA,NA,NA,0.00377299306312345,NAS_1,Discharge_TPHE_C14,NA
(Intercept),-2.1662999714059525,0.127914890214156,-16.935479268903862,3.636154261402618e-30,NAS_1,Discharge_TPHE_C15,TRUE
MODVaginal,-0.42650187168720183,0.20179722071608416,-2.113517075080349,0.037233686977985216,NAS_1,Discharge_TPHE_C15,TRUE
voi,0.2222003423770356,0.08450050576418107,2.6295741116288576,0.010004320782548499,NAS_1,Discharge_TPHE_C15,TRUE
anova,NA,NA,NA,0.011450506439841746,NAS_1,Discharge_TPHE_C15,NA
(Intercept),-2.300032600609383,0.12898917765785345,-17.831206015672638,9.206493010904622e-32,NAS_1,Discharge_TPHE_C17,TRUE
MODVaginal,-0.2634271356801148,0.1930439201722611,-1.3645969033629644,0.17567253495487078,NAS_1,Discharge_TPHE_C17,TRUE
voi,0.3316318219902719,0.06179509603404887,5.3666365662340585,5.857092853517053e-7,NAS_1,Discharge_TPHE_C17,TRUE
anova,NA,NA,NA,1.0536489798492158e-6,NAS_1,Discharge_TPHE_C17,NA
(Intercept),-2.211891866286748,0.1244300897652273,-17.776181552710522,1.15054111881797e-31,NAS_1,Discharge_TPHE_C21,TRUE
MODVaginal,-0.434080068214753,0.19479423219872996,-2.2284030862469404,0.028263589737974836,NAS_1,Discharge_TPHE_C21,TRUE
voi,0.34139061095320816,0.0789831756347904,4.322320648789321,3.86877568821995e-5,NAS_1,Discharge_TPHE_C21,TRUE
anova,NA,NA,NA,4.148470520062711e-5,NAS_1,Discharge_TPHE_C21,NA
(Intercept),-2.1361236121199703,0.12667165042590114,-16.86347027877034,4.908045147116919e-30,NAS_1,Discharge_TPHE_C22,TRUE
MODVaginal,-0.4246562855281009,0.20276367665235526,-2.094341020735127,0.03894932096206638,NAS_1,Discharge_TPHE_C22,TRUE
voi,-0.10627112024449836,0.10119408372952962,-1.0501712780812225,0.29636068196469173,NAS_1,Discharge_TPHE_C22,TRUE
anova,NA,NA,NA,0.2890897049777379,NAS_1,Discharge_TPHE_C22,NA
(Intercept),-2.234064832429433,0.13433825287443027,-16.630146548933283,1.3030586390778982e-29,NAS_1,Discharge_TPHE_C24,TRUE
MODVaginal,-0.29966759626528255,0.20569392809060683,-1.4568616538514494,0.1485227374744992,NAS_1,Discharge_TPHE_C24,TRUE
voi,0.27384640309008046,0.09646982114972627,2.838674311057925,0.005562728176672584,NAS_1,Discharge_TPHE_C24,TRUE
anova,NA,NA,NA,0.004817075720590179,NAS_1,Discharge_TPHE_C24,NA
(Intercept),-2.142943491522287,0.1270607056827311,-16.865509128157914,4.8664949629004955e-30,NAS_1,Discharge_TPHE_C25,TRUE
MODVaginal,-0.4013414781716292,0.2041785138405207,-1.9656401186517996,0.052323108846381444,NAS_1,Discharge_TPHE_C25,TRUE
voi,-0.09919726454398156,0.10196648200291758,-0.9728418848572535,0.333155454870678,NAS_1,Discharge_TPHE_C25,TRUE
anova,NA,NA,NA,0.3371166700007428,NAS_1,Discharge_TPHE_C25,NA
(Intercept),-2.18705171032321,0.13225468515449362,-16.53666717189187,1.9306438168301067e-29,NAS_1,Discharge_TPHE_C26,TRUE
MODVaginal,-0.34871165147161903,0.20730077708188563,-1.68215313217989,0.09589406919035069,NAS_1,Discharge_TPHE_C26,TRUE
voi,0.1868929660173559,0.0983340938733342,1.9005917343184742,0.06045271526648831,NAS_1,Discharge_TPHE_C26,TRUE
anova,NA,NA,NA,0.06143259289743302,NAS_1,Discharge_TPHE_C26,NA
(Intercept),-2.1603556889597932,0.1279151470364537,-16.888974754054168,4.4130365767002006e-30,NAS_1,Discharge_TPHE_C27,TRUE
MODVaginal,-0.3917744053220708,0.20279622002864256,-1.9318624640377287,0.05642055999918574,NAS_1,Discharge_TPHE_C27,TRUE
voi,0.16417131231304152,0.08988005879593897,1.826559912313489,0.07097410339808695,NAS_1,Discharge_TPHE_C27,TRUE
anova,NA,NA,NA,0.07508274568593838,NAS_1,Discharge_TPHE_C27,NA
(Intercept),-2.3236050456123527,0.16134987043576599,-14.40103446836909,2.7553887118715088e-24,NAS_1,OneYear_TPHE_C1,TRUE
MODVaginal,-0.360917848960244,0.21797050768408288,-1.6558104708520607,0.10153648553761356,NAS_1,OneYear_TPHE_C1,TRUE
voi,-0.6159241033293985,0.29843116743240433,-2.063873249662864,0.04215350757875626,NAS_1,OneYear_TPHE_C1,TRUE
anova,NA,NA,NA,0.004484684332756338,NAS_1,OneYear_TPHE_C1,NA
(Intercept),-2.2715755531709596,0.15479410725296874,-14.674819303416305,8.923312493395092e-25,NAS_1,OneYear_TPHE_C2,TRUE
MODVaginal,-0.26897593771981404,0.2258776058863187,-1.1908039164147426,0.2371250388324298,NAS_1,OneYear_TPHE_C2,TRUE
voi,-0.14228386089075648,0.11422329381920901,-1.2456641384896616,0.21639266232778873,NAS_1,OneYear_TPHE_C2,TRUE
anova,NA,NA,NA,0.20937000996398014,NAS_1,OneYear_TPHE_C2,NA
(Intercept),-2.2631717537497145,0.15146129442307793,-14.942244897419009,2.9937521530888663e-25,NAS_1,OneYear_TPHE_C3,TRUE
MODVaginal,-0.32078091006276427,0.2204310630304322,-1.4552436741571129,0.14937365772238487,NAS_1,OneYear_TPHE_C3,TRUE
voi,-0.2305585132860766,0.149313232788129,-1.544126458056348,0.1263621019987045,NAS_1,OneYear_TPHE_C3,TRUE
anova,NA,NA,NA,0.08734980362183546,NAS_1,OneYear_TPHE_C3,NA
(Intercept),-2.269845088557017,0.15407799831949817,-14.731792425354827,7.065580203979092e-25,NAS_1,OneYear_TPHE_C4,TRUE
MODVaginal,-0.29525254914702465,0.22340314409254267,-1.3216132223489165,0.18992830966187202,NAS_1,OneYear_TPHE_C4,TRUE
voi,-0.1881804770249972,0.148974654179853,-1.2631710948482022,0.21006459134499067,NAS_1,OneYear_TPHE_C4,TRUE
anova,NA,NA,NA,0.1713266006353211,NAS_1,OneYear_TPHE_C4,NA
(Intercept),-2.264630774696432,0.15311671671219737,-14.790225543779766,5.563613971459229e-25,NAS_1,OneYear_TPHE_C5,TRUE
MODVaginal,-0.3022409833423334,0.22264390677050816,-1.3575084435338736,0.17829934024418798,NAS_1,OneYear_TPHE_C5,TRUE
voi,0.1470791191868471,0.09532324836579084,1.5429511867078816,0.12664691187851776,NAS_1,OneYear_TPHE_C5,TRUE
anova,NA,NA,NA,0.1341314222938687,NAS_1,OneYear_TPHE_C5,NA
(Intercept),-2.2442078848691973,0.15259843807327178,-14.706624217160183,7.832678143306896e-25,NAS_1,OneYear_TPHE_C6,TRUE
MODVaginal,-0.3085275315018517,0.22522862107062513,-1.3698415860083184,0.17443082074193758,NAS_1,OneYear_TPHE_C6,TRUE
voi,-0.0034110061173822487,0.11193702533553058,-0.030472545676086867,0.9757633441536442,NAS_1,OneYear_TPHE_C6,TRUE
anova,NA,NA,NA,0.9775168292661128,NAS_1,OneYear_TPHE_C6,NA
(Intercept),-2.250133485942346,0.1519852666782001,-14.804944815516729,5.238919787885703e-25,NAS_1,OneYear_TPHE_C8,TRUE
MODVaginal,-0.3074694065516666,0.22282554428367884,-1.3798660631127093,0.1713337373688213,NAS_1,OneYear_TPHE_C8,TRUE
voi,0.10870092697207316,0.09809266864174984,1.1081452719883316,0.27099996413959054,NAS_1,OneYear_TPHE_C8,TRUE
anova,NA,NA,NA,0.2794903426088825,NAS_1,OneYear_TPHE_C8,NA
(Intercept),-2.2554294761790445,0.15339249393190207,-14.703649561759734,7.928720337168161e-25,NAS_1,OneYear_TPHE_C9,TRUE
MODVaginal,-0.3454409237139036,0.22454430359973374,-1.5384087602136491,0.127752488986401,NAS_1,OneYear_TPHE_C9,TRUE
voi,-0.24534942078604904,0.15672345144624472,-1.5654927103886718,0.12127233111335253,NAS_1,OneYear_TPHE_C9,TRUE
anova,NA,NA,NA,0.08059183811977934,NAS_1,OneYear_TPHE_C9,NA
(Intercept),-2.245588947522139,0.15239720130331286,-14.735106211385023,6.97038476393541e-25,NAS_1,OneYear_TPHE_C10,TRUE
MODVaginal,-0.3080044210434957,0.22401255249134833,-1.3749426878897388,0.17284954671602235,NAS_1,OneYear_TPHE_C10,TRUE
voi,-0.030357460292714956,0.1294346053694954,-0.234538979788704,0.8151441885230905,NAS_1,OneYear_TPHE_C10,TRUE
anova,NA,NA,NA,0.8094475492212025,NAS_1,OneYear_TPHE_C10,NA
