estimate,std.error,statistic,p.value,term,response,voi,produced_warning
NA,NA,NA,0.19357379785739592,anova,REC_2,Discharge_TPHE_CD8_C22,NA
2.406,0.1084,22.19,0,log_alpha,REC_2,Discharge_TPHE_CD8_C23,FALSE
0.9276,0.1378,6.733,1.665e-11,log_beta,REC_2,Discharge_TPHE_CD8_C23,FALSE
0.106,0.2632,0.4026,0.6873,MODVaginal,REC_2,Discharge_TPHE_CD8_C23,FALSE
-0.1216,0.02859,-4.253,2.105e-5,gaBirth,REC_2,Discharge_TPHE_CD8_C23,FALSE
0.1053,0.1321,0.7967,0.4256,voi,REC_2,Discharge_TPHE_CD8_C23,FALSE
NA,NA,NA,0.39575388434022774,anova,REC_2,Discharge_TPHE_CD8_C23,NA
2.394,0.1414,16.93,0,log_alpha,REC_2,Discharge_TPHE_CD8_C24,FALSE
0.9307,0.1501,6.2,5.648e-10,log_beta,REC_2,Discharge_TPHE_CD8_C24,FALSE
0.1793,0.5657,0.3169,0.7513,MODVaginal,REC_2,Discharge_TPHE_CD8_C24,FALSE
-0.1216,0.06145,-1.978,0.04788,gaBirth,REC_2,Discharge_TPHE_CD8_C24,FALSE
0.0345,0.1271,0.2715,0.786,voi,REC_2,Discharge_TPHE_CD8_C24,FALSE
NA,NA,NA,0.7520119093898195,anova,REC_2,Discharge_TPHE_CD8_C24,NA
2.341,0.1326,17.66,0,log_alpha,REC_2,OneYear_TPHE_CD8_C1,FALSE
0.8238,0.1511,5.452,4.975e-8,log_beta,REC_2,OneYear_TPHE_CD8_C1,FALSE
0.2097,0.2688,0.78,0.4354,MODVaginal,REC_2,OneYear_TPHE_CD8_C1,FALSE
-0.1175,0.02893,-4.062,4.869e-5,gaBirth,REC_2,OneYear_TPHE_CD8_C1,FALSE
0.1258,0.1326,0.9485,0.3429,voi,REC_2,OneYear_TPHE_CD8_C1,FALSE
NA,NA,NA,0.3510776819220671,anova,REC_2,OneYear_TPHE_CD8_C1,NA
2.33,0.1361,17.12,0,log_alpha,REC_2,OneYear_TPHE_CD8_C2,FALSE
0.8217,0.1539,5.339,9.343e-8,log_beta,REC_2,OneYear_TPHE_CD8_C2,FALSE
0.15,0.3003,0.4993,0.6176,MODVaginal,REC_2,OneYear_TPHE_CD8_C2,FALSE
-0.1157,0.03638,-3.181,0.001468,gaBirth,REC_2,OneYear_TPHE_CD8_C2,FALSE
-0.1511,0.166,-0.91,0.3628,voi,REC_2,OneYear_TPHE_CD8_C2,FALSE
NA,NA,NA,0.27565011808914086,anova,REC_2,OneYear_TPHE_CD8_C2,NA
2.345,0.1331,17.62,0,log_alpha,REC_2,OneYear_TPHE_CD8_C3,FALSE
0.8139,0.1499,5.431,5.603e-8,log_beta,REC_2,OneYear_TPHE_CD8_C3,FALSE
