term,estimate,std.error,statistic,p.value,response,voi,produced_warning
anova,NA,NA,NA,0.24049363142868824,REC_2,OneYear_TPHE_C4,NA
(Intercept),-2.2504846451894913,0.32212724180085456,-6.986322027929527,2.8218596389628136e-12,REC_2,OneYear_TPHE_C5,TRUE
MODVaginal,-0.6183143048312012,0.42616316341492416,-1.4508863222164357,0.14681151718771826,REC_2,OneYear_TPHE_C5,TRUE
voi,-0.07165678084796338,0.21342867688613068,-0.33574110983311767,0.7370661022681979,REC_2,OneYear_TPHE_C5,TRUE
anova,NA,NA,NA,0.7305058650422346,REC_2,OneYear_TPHE_C5,NA
(Intercept),-2.2547557243858125,0.3225253406225797,-6.990941301025818,2.7304799364862965e-12,REC_2,OneYear_TPHE_C6,TRUE
MODVaginal,-0.6111877382989934,0.4268575697844302,-1.431830618835348,0.15219230219799915,REC_2,OneYear_TPHE_C6,TRUE
voi,-0.07750941427499318,0.2125771105524218,-0.36461787477292507,0.7153966700089595,REC_2,OneYear_TPHE_C6,TRUE
anova,NA,NA,NA,0.7098664299541518,REC_2,OneYear_TPHE_C6,NA
(Intercept),-2.253749591552642,0.32288981198824285,-6.979934045223781,2.9531867062849772e-12,REC_2,OneYear_TPHE_C8,TRUE
MODVaginal,-0.6132884639958485,0.42760363102085674,-1.4342452203497187,0.15150229666811763,REC_2,OneYear_TPHE_C8,TRUE
voi,-0.03225696986687625,0.2168701872461746,-0.14873860845732834,0.8817598949339595,REC_2,OneYear_TPHE_C8,TRUE
anova,NA,NA,NA,0.8829882713272614,REC_2,OneYear_TPHE_C8,NA
(Intercept),-2.206536744653285,0.3432127664713275,-6.429063718518823,1.2839230321320311e-10,REC_2,OneYear_TPHE_C9,TRUE
MODVaginal,-0.7787836162167591,0.4535515771487299,-1.717078399578309,0.08596484829077762,REC_2,OneYear_TPHE_C9,TRUE
voi,-0.6823582789914521,0.30464117639525073,-2.2398754070793756,0.025099012639300367,REC_2,OneYear_TPHE_C9,TRUE
anova,NA,NA,NA,0.006862373194794375,REC_2,OneYear_TPHE_C9,NA
(Intercept),-2.272408296920507,0.3264239343108718,-6.961524747619656,3.3660941142168725e-12,REC_2,OneYear_TPHE_C10,TRUE
MODVaginal,-0.6038355755717801,0.43071149239695544,-1.4019490685316305,0.16093045624219765,REC_2,OneYear_TPHE_C10,TRUE
voi,-0.32736039587214055,0.3025720774903753,-1.0819253335845367,0.27928570695602756,REC_2,OneYear_TPHE_C10,TRUE
anova,NA,NA,NA,0.19967248745815872,REC_2,OneYear_TPHE_C10,NA
(Intercept),-2.2254677055438665,0.3270537405665348,-6.804593342026383,1.0133506860700744e-11,REC_2,OneYear_TPHE_C11,TRUE
MODVaginal,-0.683781088592003,0.4351809881080636,-1.571256804128142,0.11612301036651218,REC_2,OneYear_TPHE_C11,TRUE
voi,-0.368642095706472,0.23998045365165252,-1.5361338396400415,0.12450555830664208,REC_2,OneYear_TPHE_C11,TRUE
anova,NA,NA,NA,0.09306703162877486,REC_2,OneYear_TPHE_C11,NA
(Intercept),-2.2446343043237906,0.3225134565964048,-6.959815965548188,3.407175310591425e-12,REC_2,OneYear_TPHE_C12,TRUE
MODVaginal,-0.6294660717663534,0.4271952428391816,-1.4734856773751972,0.1406201230388921,REC_2,OneYear_TPHE_C12,TRUE
voi,0.11872522750786065,0.2115168868979325,0.5613037769658151,0.5745904672278139,REC_2,OneYear_TPHE_C12,TRUE
anova,NA,NA,NA,0.5610348295641074,REC_2,OneYear_TPHE_C12,NA
(Intercept),-2.2382859255125305,0.3220660049307643,-6.949773932190399,3.658720340192055e-12,REC_2,OneYear_TPHE_C13,TRUE
MODVaginal,-0.6435311488554107,0.4284367814043788,-1.5020445881092916,0.1330855939456538,REC_2,OneYear_TPHE_C13,TRUE
voi,-0.17764040018972996,0.21642463863386296,-0.8207956418966402,0.41176268141125644,REC_2,OneYear_TPHE_C13,TRUE
anova,NA,NA,NA,0.3931883275008593,REC_2,OneYear_TPHE_C13,NA
(Intercept),-2.303042305400641,0.3279408656922449,-7.022736555077353,2.1756420890884915e-12,REC_2,OneYear_TPHE_C14,TRUE
MODVaginal,-0.5187086148969524,0.43612173710108054,-1.1893665707763852,0.23429544953918544,REC_2,OneYear_TPHE_C14,TRUE
voi,0.3211558414808859,0.2324400790536863,1.3816715378362483,0.16707257743054477,REC_2,OneYear_TPHE_C14,TRUE
anova,NA,NA,NA,0.1460962178420065,REC_2,OneYear_TPHE_C14,NA
(Intercept),-2.2498623464560135,0.32317931802721733,-6.9616532400335585,3.3630247092397555e-12,REC_2,OneYear_TPHE_C15,TRUE
MODVaginal,-0.6182627341479713,0.4277929474481013,-1.4452382579845529,0.14839097365521897,REC_2,OneYear_TPHE_C15,TRUE
voi,0.16817015556600604,0.21665090451420807,0.7762264179929946,0.4376153103145418,REC_2,OneYear_TPHE_C15,TRUE
anova,NA,NA,NA,0.42129518155510226,REC_2,OneYear_TPHE_C15,NA
(Intercept),-2.2879966247058334,0.32853910817515647,-6.964153027060684,3.303853349197008e-12,REC_2,OneYear_TPHE_C16,TRUE
MODVaginal,-0.6087065737289074,0.4306298946694084,-1.4135260493148234,0.15750110766627964,REC_2,OneYear_TPHE_C16,TRUE
voi,-0.5702675044730203,0.5252034867263081,-1.0858029675842495,0.2775661731997806,REC_2,OneYear_TPHE_C16,TRUE
anova,NA,NA,NA,0.08460642108741671,REC_2,OneYear_TPHE_C16,NA
(Intercept),-2.2483110889516507,0.32265427647194306,-6.968173840854567,3.210813340402301e-12,REC_2,OneYear_TPHE_C17,TRUE
MODVaginal,-0.6220364593098234,0.42698991975875433,-1.4567942485885117,0.14517318399123108,REC_2,OneYear_TPHE_C17,TRUE
voi,0.07853159800911817,0.21363991035153235,0.3675886115094267,0.713180007881836,REC_2,OneYear_TPHE_C17,TRUE
anova,NA,NA,NA,0.7036895780514232,REC_2,OneYear_TPHE_C17,NA
(Intercept),-2.255374280645479,0.32340747256567043,-6.973785307905981,3.0852479971795807e-12,REC_2,OneYear_TPHE_C21,TRUE
MODVaginal,-0.6067729103645436,0.42786027531510773,-1.418156686590433,0.1561450243172521,REC_2,OneYear_TPHE_C21,TRUE
voi,0.1677206639593461,0.21564986286489837,0.7777452845607453,0.43671918993215525,REC_2,OneYear_TPHE_C21,TRUE
anova,NA,NA,NA,0.4237874737171613,REC_2,OneYear_TPHE_C21,NA
(Intercept),-2.2564146119137933,0.32302434336983,-6.985277296362858,2.8429389798458423e-12,REC_2,OneYear_TPHE_C22,TRUE
MODVaginal,-0.6101984165480246,0.42757396036512446,-1.4271178161246045,0.15354593796095586,REC_2,OneYear_TPHE_C22,TRUE
voi,0.12544250033545762,0.2171029949569787,0.577801795688334,0.5633979428035305,REC_2,OneYear_TPHE_C22,TRUE
anova,NA,NA,NA,0.5522826918784766,REC_2,OneYear_TPHE_C22,NA
(Intercept),-2.2517575590730528,0.3234366260118276,-6.961974550744631,3.3553613001647005e-12,REC_2,OneYear_TPHE_C23,TRUE
MODVaginal,-0.612401544515912,0.4275903148878354,-1.4322156587586787,0.1520821117135813,REC_2,OneYear_TPHE_C23,TRUE
voi,0.1804430891996546,0.2242456127045907,0.8046671996092105,0.42101175229909654,REC_2,OneYear_TPHE_C23,TRUE
anova,NA,NA,NA,0.396203253615458,REC_2,OneYear_TPHE_C23,NA
(Intercept),-2.2528321832529445,0.32265241062087063,-6.982226411753395,2.905383900321745e-12,REC_2,OneYear_TPHE_C24,TRUE
MODVaginal,-0.6148276675333325,0.4274078747376605,-1.4385033684994895,0.15029128239240014,REC_2,OneYear_TPHE_C24,TRUE
voi,0.021050815408772395,0.21149441332649635,0.09953367125719305,0.9207145548297248,REC_2,OneYear_TPHE_C24,TRUE
anova,NA,NA,NA,0.9233113152071846,REC_2,OneYear_TPHE_C24,NA
(Intercept),-2.237202360435431,0.32508703388120086,-6.881856633054734,5.907745532549928e-12,REC_2,OneYear_TPHE_C25,TRUE
MODVaginal,-0.642490165185696,0.43220024010297503,-1.4865567058283395,0.13713192957262946,REC_2,OneYear_TPHE_C25,TRUE
voi,0.0823030855095481,0.21540325993214035,0.3820883933487194,0.7023958006525013,REC_2,OneYear_TPHE_C25,TRUE
anova,NA,NA,NA,0.6850194559505236,REC_2,OneYear_TPHE_C25,NA
(Intercept),-2.286513387913397,0.3242843065891208,-7.050952949167804,1.7769657950524603e-12,REC_2,OneYear_TPHE_C26,TRUE
MODVaginal,-0.5545571371423779,0.43272177891977986,-1.281555872983191,0.1999984881075979,REC_2,OneYear_TPHE_C26,TRUE
voi,0.17880479136459596,0.21680971465475132,0.8247083930225425,0.40953716554335673,REC_2,OneYear_TPHE_C26,TRUE
anova,NA,NA,NA,0.4014137521106335,REC_2,OneYear_TPHE_C26,NA
(Intercept),-2.236721831931193,0.324724640732731,-6.888056991560912,5.655955369969663e-12,REC_2,OneYear_TPHE_C27,TRUE
MODVaginal,-0.650010212889044,0.43144587813234664,-1.5065857523145754,0.13191687167118302,REC_2,OneYear_TPHE_C27,TRUE
voi,-0.21255029647637408,0.22456254255855695,-0.946508237993206,0.34388942249150894,REC_2,OneYear_TPHE_C27,TRUE
anova,NA,NA,NA,0.3185811199033395,REC_2,OneYear_TPHE_C27,NA
(Intercept),-2.314224890540575,0.2961285594067994,-7.814933133016275,5.499221514407183e-15,REC_2,Birth_TPHE_CD8_C1,TRUE
MODVaginal,-0.7523270551562568,0.42088775971318554,-1.787476679457086,0.07386047801476354,REC_2,Birth_TPHE_CD8_C1,TRUE
voi,-0.3108038779751673,0.2834185288094376,-1.0966251193271235,0.2728053021046167,REC_2,Birth_TPHE_CD8_C1,TRUE
anova,NA,NA,NA,0.1966562976830297,REC_2,Birth_TPHE_CD8_C1,NA
(Intercept),-2.2872461791804692,0.29546557761062875,-7.741159554615375,9.851417611754513e-15,REC_2,Birth_TPHE_CD8_C2,TRUE
MODVaginal,-0.7808771033656146,0.42087201258486023,-1.855379022638543,0.06354212082335527,REC_2,Birth_TPHE_CD8_C2,TRUE
voi,0.09984488377512656,0.21001613019845175,0.47541531062771014,0.634490983710301,REC_2,Birth_TPHE_CD8_C2,TRUE
anova,NA,NA,NA,0.6182183127574523,REC_2,Birth_TPHE_CD8_C2,NA
(Intercept),-2.3409494432383338,0.30278273712459924,-7.731449505574028,1.0632885194817617e-14,REC_2,Birth_TPHE_CD8_C3,TRUE
MODVaginal,-0.6958386821511443,0.4275689505580048,-1.6274303389968574,0.10364573234771007,REC_2,Birth_TPHE_CD8_C3,TRUE
voi,-0.3436554915184514,0.23572374000107504,-1.4578739142560868,0.14487530000741933,REC_2,Birth_TPHE_CD8_C3,TRUE
anova,NA,NA,NA,0.11942912547856764,REC_2,Birth_TPHE_CD8_C3,NA
(Intercept),-2.2974859506370175,0.2944435130514901,-7.802807155867789,6.054503482636817e-15,REC_2,Birth_TPHE_CD8_C5,TRUE
MODVaginal,-0.759368372284476,0.41792078009854716,-1.8170151101493788,0.06921479971720931,REC_2,Birth_TPHE_CD8_C5,TRUE
voi,0.035979083593019094,0.20991524732970512,0.17139814306346335,0.8639107147955261,REC_2,Birth_TPHE_CD8_C5,TRUE
anova,NA,NA,NA,0.8591845272841834,REC_2,Birth_TPHE_CD8_C5,NA
(Intercept),-2.2925372393553034,0.2962679375748193,-7.738053797253534,1.009501347851997e-14,REC_2,Birth_TPHE_CD8_C6,TRUE
MODVaginal,-0.7700241762033134,0.4228623963571512,-1.820980495870217,0.06860982173333346,REC_2,Birth_TPHE_CD8_C6,TRUE
voi,0.040078179081214,0.21151172499333773,0.1894844320449677,0.8497131555075725,REC_2,Birth_TPHE_CD8_C6,TRUE
anova,NA,NA,NA,0.8352553005378466,REC_2,Birth_TPHE_CD8_C6,NA
(Intercept),-2.2775064794524904,0.30103724401238213,-7.565530593811884,3.862845859975387e-14,REC_2,Birth_TPHE_CD8_C8,TRUE
MODVaginal,-0.7902273965835379,0.42609013240184496,-1.8546014950617904,0.0636531544824623,REC_2,Birth_TPHE_CD8_C8,TRUE
voi,0.40998989597531255,0.23390426849781737,1.7528106631330598,0.0796345122100144,REC_2,Birth_TPHE_CD8_C8,TRUE
anova,NA,NA,NA,0.0599510340059068,REC_2,Birth_TPHE_CD8_C8,NA
(Intercept),-2.31084341695605,0.2956427018485606,-7.816338446736802,5.438203499132383e-15,REC_2,Birth_TPHE_CD8_C9,TRUE
MODVaginal,-0.7342674608019389,0.4209488275842384,-1.7443152532714932,0.08110413333054128,REC_2,Birth_TPHE_CD8_C9,TRUE
voi,-0.10603953590360084,0.21431840039311686,-0.49477569685615497,0.6207584613786521,REC_2,Birth_TPHE_CD8_C9,TRUE
anova,NA,NA,NA,0.6172378125105739,REC_2,Birth_TPHE_CD8_C9,NA
