estimate,std.error,statistic,p.value,term,response,voi,produced_warning
2.53,0.1595,15.87,0,log_alpha,REC_2,OneYear_TPHE_CD8_C24,FALSE
0.5763,0.1425,4.043,5.27e-5,log_beta,REC_2,OneYear_TPHE_CD8_C24,FALSE
0.1591,0.3211,0.4955,0.6203,MODVaginal,REC_2,OneYear_TPHE_CD8_C24,FALSE
-0.02016,0.179,-0.1126,0.9103,voi,REC_2,OneYear_TPHE_CD8_C24,FALSE
NA,NA,NA,0.9103975569053016,anova,REC_2,OneYear_TPHE_CD8_C24,NA
2.294,0.1487,15.43,0,log_alpha,REC_2,Birth_CD4_C2,FALSE
0.6579,0.1461,4.502,6.735e-6,log_beta,REC_2,Birth_CD4_C2,FALSE
0.2229,0.3077,0.7242,0.4689,MODVaginal,REC_2,Birth_CD4_C2,FALSE
0.1092,0.1526,0.7158,0.4741,voi,REC_2,Birth_CD4_C2,FALSE
NA,NA,NA,0.47534468249523043,anova,REC_2,Birth_CD4_C2,NA
2.253,0.1421,15.85,0,log_alpha,REC_2,Birth_CD4_C3,FALSE
0.7149,0.147,4.862,1.161e-6,log_beta,REC_2,Birth_CD4_C3,FALSE
0.004053,0.2903,0.01396,0.9889,MODVaginal,REC_2,Birth_CD4_C3,FALSE
0.3182,0.1462,2.176,0.02953,voi,REC_2,Birth_CD4_C3,FALSE
NA,NA,NA,0.039278587532368126,anova,REC_2,Birth_CD4_C3,NA
2.294,0.1482,15.48,0,log_alpha,REC_2,Birth_CD4_C5,FALSE
0.6601,0.1457,4.529,5.912e-6,log_beta,REC_2,Birth_CD4_C5,FALSE
0.2071,0.3026,0.6844,0.49370000000000003,MODVaginal,REC_2,Birth_CD4_C5,FALSE
0.1435,0.137,1.047,0.2949,voi,REC_2,Birth_CD4_C5,FALSE
NA,NA,NA,0.2895696871079245,anova,REC_2,Birth_CD4_C5,NA
2.32,0.1458,15.91,0,log_alpha,REC_2,Birth_CD4_C6,FALSE
0.6689,0.1464,4.57,4.87e-6,log_beta,REC_2,Birth_CD4_C6,FALSE
0.1033,0.3019,0.3422,0.7322,MODVaginal,REC_2,Birth_CD4_C6,FALSE
-0.1814,0.1532,-1.184,0.2365,voi,REC_2,Birth_CD4_C6,FALSE
NA,NA,NA,0.25473032033380616,anova,REC_2,Birth_CD4_C6,NA
2.311,0.1458,15.85,0,log_alpha,REC_2,Birth_CD4_C7,FALSE
0.6682,0.1462,4.572,4.831e-6,log_beta,REC_2,Birth_CD4_C7,FALSE
0.1206,0.2979,0.405,0.6855,MODVaginal,REC_2,Birth_CD4_C7,FALSE
-0.1808,0.1626,-1.112,0.2662,voi,REC_2,Birth_CD4_C7,FALSE
NA,NA,NA,0.2479519546317438,anova,REC_2,Birth_CD4_C7,NA
2.305,0.1413,16.32,0,log_alpha,REC_2,Birth_CD4_C9,FALSE
0.7025,0.1478,4.753,2.008e-6,log_beta,REC_2,Birth_CD4_C9,FALSE
0.06731,0.292,0.2305,0.8177,MODVaginal,REC_2,Birth_CD4_C9,FALSE
0.2745,0.1414,1.941,0.05221,voi,REC_2,Birth_CD4_C9,FALSE
NA,NA,NA,0.06914081464390742,anova,REC_2,Birth_CD4_C9,NA
2.259,0.1354,16.69,0,log_alpha,REC_2,Birth_CD4_C10,FALSE
0.7446,0.1493,4.987,6.124e-7,log_beta,REC_2,Birth_CD4_C10,FALSE
0.03174,0.2799,0.1134,0.9097,MODVaginal,REC_2,Birth_CD4_C10,FALSE
-0.3779,0.15,-2.52,0.01175,voi,REC_2,Birth_CD4_C10,FALSE
NA,NA,NA,0.019004267891450155,anova,REC_2,Birth_CD4_C10,NA
2.28,0.1481,15.4,0,log_alpha,REC_2,Birth_CD4_C11,FALSE
0.6706,0.1464,4.581,4.636e-6,log_beta,REC_2,Birth_CD4_C11,FALSE
0.07819,0.3048,0.2565,0.7976,MODVaginal,REC_2,Birth_CD4_C11,FALSE
-0.1797,0.161,-1.116,0.2643,voi,REC_2,Birth_CD4_C11,FALSE
NA,NA,NA,0.2660538834651647,anova,REC_2,Birth_CD4_C11,NA
2.297,0.1458,15.76,0,log_alpha,REC_2,Birth_CD4_C12,FALSE
0.6719,0.1465,4.586,4.522e-6,log_beta,REC_2,Birth_CD4_C12,FALSE
0.2251,0.2978,0.7559,0.4497,MODVaginal,REC_2,Birth_CD4_C12,FALSE
0.1674,0.1304,1.284,0.1993,voi,REC_2,Birth_CD4_C12,FALSE
