estimate,std.error,statistic,p.value,term,response,voi,produced_warning
0.9859,0.1165,8.466,0,log_beta,NAS_1,Discharge_TPHE_CD8_C5,FALSE
-0.3651,0.1923,-1.898,0.05764,MODVaginal,NAS_1,Discharge_TPHE_CD8_C5,FALSE
-0.03115,0.0195,-1.598,0.1101,gaBirth,NAS_1,Discharge_TPHE_CD8_C5,FALSE
0.1476,0.07887,1.872,0.06127,voi,NAS_1,Discharge_TPHE_CD8_C5,FALSE
NA,NA,NA,0.09170542135364967,anova,NAS_1,Discharge_TPHE_CD8_C5,NA
3.807,0.09181,41.46,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C8,FALSE
0.989,0.1169,8.459,0,log_beta,NAS_1,Discharge_TPHE_CD8_C8,FALSE
-0.3016,0.1873,-1.61,0.1074,MODVaginal,NAS_1,Discharge_TPHE_CD8_C8,FALSE
-0.03365,0.02001,-1.681,0.09269,gaBirth,NAS_1,Discharge_TPHE_CD8_C8,FALSE
0.154,0.08686,1.773,0.07623,voi,NAS_1,Discharge_TPHE_CD8_C8,FALSE
NA,NA,NA,0.09148020283268776,anova,NAS_1,Discharge_TPHE_CD8_C8,NA
3.818,0.09431,40.49,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C9,FALSE
0.9573,0.1159,8.26,2.22e-16,log_beta,NAS_1,Discharge_TPHE_CD8_C9,FALSE
-0.3074,0.199,-1.545,0.1224,MODVaginal,NAS_1,Discharge_TPHE_CD8_C9,FALSE
-0.02501,0.01969,-1.27,0.204,gaBirth,NAS_1,Discharge_TPHE_CD8_C9,FALSE
0.01365,0.0971,0.1406,0.8882,voi,NAS_1,Discharge_TPHE_CD8_C9,FALSE
NA,NA,NA,0.8881352226264494,anova,NAS_1,Discharge_TPHE_CD8_C9,NA
3.806,0.09037,42.11,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C10,FALSE
0.995,0.1167,8.523,0,log_beta,NAS_1,Discharge_TPHE_CD8_C10,FALSE
-0.3312,0.1847,-1.793,0.07295,MODVaginal,NAS_1,Discharge_TPHE_CD8_C10,FALSE
-0.01816,0.01866,-0.9733,0.3304,gaBirth,NAS_1,Discharge_TPHE_CD8_C10,FALSE
-0.1927,0.0917,-2.102,0.03559,voi,NAS_1,Discharge_TPHE_CD8_C10,FALSE
NA,NA,NA,0.06372879427595168,anova,NAS_1,Discharge_TPHE_CD8_C10,NA
3.82,0.09418,40.56,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C12,FALSE
0.958,0.1159,8.267,2.22e-16,log_beta,NAS_1,Discharge_TPHE_CD8_C12,FALSE
-0.303,0.2025,-1.497,0.1344,MODVaginal,NAS_1,Discharge_TPHE_CD8_C12,FALSE
-0.02434,0.01973,-1.234,0.2173,gaBirth,NAS_1,Discharge_TPHE_CD8_C12,FALSE
0.01906,0.1058,0.1802,0.857,voi,NAS_1,Discharge_TPHE_CD8_C12,FALSE
NA,NA,NA,0.8572013319491735,anova,NAS_1,Discharge_TPHE_CD8_C12,NA
3.819,0.09417,40.56,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C14,FALSE
0.9574,0.1159,8.262,2.22e-16,log_beta,NAS_1,Discharge_TPHE_CD8_C14,FALSE
-0.3182,0.1963,-1.622,0.1049,MODVaginal,NAS_1,Discharge_TPHE_CD8_C14,FALSE
-0.02285,0.02305,-0.9914,0.3215,gaBirth,NAS_1,Discharge_TPHE_CD8_C14,FALSE
-0.01837,0.1177,-0.1561,0.8759,voi,NAS_1,Discharge_TPHE_CD8_C14,FALSE
NA,NA,NA,0.8757423106997837,anova,NAS_1,Discharge_TPHE_CD8_C14,NA
3.819,0.09352,40.84,0,log_alpha,NAS_1,Discharge_TPHE_CD8_C15,FALSE
0.9635,0.1162,8.292,0,log_beta,NAS_1,Discharge_TPHE_CD8_C15,FALSE
-0.3421,0.1968,-1.738,0.08224,MODVaginal,NAS_1,Discharge_TPHE_CD8_C15,FALSE
-0.02384,0.01959,-1.217,0.2236,gaBirth,NAS_1,Discharge_TPHE_CD8_C15,FALSE
0.06174,0.09756,0.6329,0.5268,voi,NAS_1,Discharge_TPHE_CD8_C15,FALSE
NA,NA,NA,0.5277550622864409,anova,NAS_1,Discharge_TPHE_CD8_C15,NA
