SampleID	PC1
E160XM9F.04	-0.334731631
F160QN6J.04	-0.191774864
F160R95G.04	-0.374363689
F160RYCX.04	-0.052683654
F160S2J4.04	-0.110465949
F160S44K.04	-0.163844807
F160T37P.04	0.295281634
F160TL64.04	-0.292540781
F160TPMJ.04	-0.357699323
F160VHF2.04	-0.259264571
F160W1W5.04	-0.299707204
F160WYKV.04	-0.074835279
G160S3DT.04	0.26664499
G160SZN6.04	-0.222308363
G160T158.04	-0.306159833
G160TBHV.04	0.207182896
G160THGH.04	-0.267088352
G160TLXR.04	0.299602385
G160TMJ8.04	-0.172324482
G160TPXS.04	-0.322614844
G160TYG6.04	-0.288769126
G160VKLH.04	-0.340469309
G160VTZ3.04	0.10072813
G160W5NN.04	-0.340568073
G160W5XD.04	-0.351611498
G160WD4C.04	-0.211289279
G160WDVK.04	-0.014211401
G160WZDZ.04	-0.096874591
G160XL7K.04	0.342835521
H160RC0X.04	-0.24819827
H160RWC7.04	0.129384394
H160RXJ3.04	0.346788127
H160SQJD.04	-0.212159971
H160T35M.04	0.118827795
H160T8W8.04	0.014309101
H160TXB0.04	-0.31775585
H160V1KJ.04	-0.383791295
H160V4XM.04	-0.276353913
H160V4YJ.04	-0.282084716
H160V5DD.04	-0.245943966
H160V88C.04	-0.123342891
H160V9WK.04	-0.383843329
H160VSKM.04	-0.232151353
H160VVL2.04	-0.280783606
H160VX76.04	-0.319714789
H160VYNN.04	-0.321340902
H160W0PX.04	-0.34696532
H160W610.04	-0.33045447
H160WB2F.04	-0.291582254
H160WDCP.04	-0.105925161
H160X27M.04	-0.233928233
H160X3MV.04	-0.342579499
J160RTZZ.04	0.242875083
J160T24S.04	-0.316956083
J160T628.04	0.138379701
J160T9LV.04	0.059012086
J160TFL8.04	0.112681825
J160TJ4B.04	-0.239139044
J160TLV2.04	-0.274924935
J160TMS4.04	0.016305021
J160TQGY.04	-0.265967127
J160V0B8.04	-0.184815631
J160V5NQ.04	-0.261226399
J160VFWN.04	-0.341894158
J160VL5R.04	-0.329828445
J160VYGS.04	-0.092908942
J160W3HD.04	-0.27086257
J160WDFZ.04	-0.332773258
J160WDZZ.04	-0.248598896
J160WLVR.04	-0.138752983
J160WZMT.04	-0.296835601
K160RKN5.04	0.151142946
K160S0RP.04	0.272395053
K160T23W.04	0.187231357
K160T32G.04	-0.122572003
K160TCGB.04	0.053943095
K160TD1B.04	-0.101189732
K160TL96.04	-0.307236698
K160TLQ1.04	-0.338229032
K160TWG2.04	-0.319034901
K160TY18.04	-0.304260865
K160TY4J.04	-0.175276227
K160TZZQ.04	0.02966345
