"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"G160THGH.04",4.09343607273681e-11,5.77040217496633e-05,0.00287300522053613,0.000281403200873387,6.45577020552676e-09,0.991989889982509,3.26674962752143e-06,0.000114001175420771,8.28572233690428e-14,4.55249181688062e-09,0.00340413181547635,1.01356009032776e-12,0.00127658678351445
"G160TLXR.04",0.0544473425637704,0.0751436412888376,0.000561397550261665,0.868990443286776,7.10822760289387e-14,0.000854861885010336,1.36676479935073e-10,2.71877633787363e-15,1.38970342084354e-08,8.20654400171132e-14,2.28459215532387e-06,1.10124130289419e-08,3.78690929486047e-09
"G160TMJ8.04",9.59160835009093e-09,0.000510608636240927,0.000148411728719986,8.22736058508495e-05,1.39326028952348e-20,0.999257992400291,6.16936687206649e-08,3.27354643992024e-08,3.64529222068659e-13,8.2435765210542e-13,1.64970452495635e-17,2.55458689647991e-07,3.54148276925163e-07
"G160TPXS.04",2.50578948935749e-28,1.55025659210066e-22,9.72551599271953e-05,2.42847025938485e-23,1.25279758919314e-05,1.5831548540143e-13,6.93682320965327e-19,0.99989021683672,6.06433601040661e-18,6.47190533897907e-20,2.73030084158035e-11,9.49519138146102e-20,1.59629925682976e-19
"G160TYG6.04",2.11424929607609e-15,2.45054663291839e-07,0.00012921472303363,2.46910389849525e-08,2.98584582537374e-14,0.945090967658983,1.3877526215459e-10,2.36507082625952e-11,4.93127929791882e-14,0.0324934696101416,4.83259201267376e-14,1.65305917697248e-14,0.0222860780995675
"G160VKLH.04",2.80824266820343e-31,1.32994173705144e-20,3.53743020618011e-06,8.95614506279699e-19,0.0381635100101323,0.000843718073973943,8.64771109663788e-12,0.946316766562741,2.4832220944508e-19,6.30037316938568e-08,0.00288434827541565,8.68210690784422e-23,0.0117880566351513
"G160VTZ3.04",3.02747099579249e-07,0.563416867029737,0.00126386855541555,0.000130065482316591,2.18146551587149e-20,0.435179734954302,2.5617389440633e-06,4.1873468766611e-08,4.7209823994676e-10,4.1417143417428e-16,1.35006864300654e-17,1.38713486627347e-10,6.55700790379025e-06
"G160W5NN.04",4.67001401840375e-30,8.914837131907e-20,2.19281318480263e-06,2.77942295626612e-21,0.998757456084749,2.35213340574328e-17,4.92388132299418e-21,1.69756442158836e-05,9.26215657019455e-19,6.99463126233765e-12,0.00122337545085594,9.9769553452649e-22,3.66742129570366e-22
"G160W5XD.04",1.25460759579739e-38,9.29533867943987e-24,5.86478840749661e-11,2.06550536500108e-25,0.986680172603835,6.84637889102825e-12,8.5806940363805e-16,0.0129996833500723,2.27116852602236e-26,1.95481537921616e-12,0.000320142314755486,3.27796450220083e-30,1.66388692572174e-09
"G160WD4C.04",1.21156935097681e-23,2.33127334286936e-14,4.46934239488908e-05,1.29736247586582e-16,1.1088937959549e-06,0.000715567881485498,5.91870181739703e-20,8.30657542795914e-11,1.38517424820508e-18,5.30407664415294e-16,1.26247482962136e-06,2.74348674492302e-18,0.99923736724285
"G160WDVK.04",5.59242700820262e-05,0.999640503391312,4.07139055351475e-05,6.99396859112932e-07,7.97949101052052e-13,4.49473153043013e-18,1.097725011164e-12,1.15690476351785e-14,6.03126678859628e-14,3.87019495276351e-26,0.000262158762301174,2.71943328042877e-10,1.65729635742153e-33
"G160WZDZ.04",2.20158992621985e-09,1.01634498322342e-07,0.0022013984815516,2.77512313085927e-05,1.64320870423365e-16,0.983944036796808,3.5013810256574e-13,1.95702111252651e-12,2.75440220628024e-05,1.46915212550514e-11,4.82624117769977e-17,4.53315499648972e-13,0.0137991656147284
"G160XL7K.04",0.0749762539902357,0.00016963537652584,8.1361735759127e-05,0.000651018610336039,6.39055579890373e-24,1.36720292344162e-08,3.74445694969725e-14,2.99740297428749e-18,0.00903059670059744,1.38412653548385e-22,2.14157282425383e-20,0.915091119914479,1.51459935809305e-21
"H160RC0X.04",4.96912432585645e-07,0.00108678352003863,0.86155951750108,3.48474961324752e-09,0.000247235605712282,3.5196653748003e-13,7.5733188344588e-14,4.36874084131407e-11,6.73762756215501e-10,8.75312376570051e-20,0.137105900500312,6.17577973230584e-08,4.26066382548718e-26
