"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"G160T7SF.03",0.371848418233044,0.000310276686264365,2.36852887139483e-25,0.627841201764851,1.85440494085644e-18,1.93088504732413e-27,4.77965268386535e-47,2.92450812488864e-20,1.03315840879272e-07,4.52440585669552e-18,9.21469725807577e-37,1.70037409062963e-50,4.58879275673511e-54
"G160TL1J.03",2.18879370738792e-16,4.49492668132964e-08,1.79083319237811e-12,1.14162086527798e-18,0.999839986167767,2.81997466447853e-15,3.133228353354e-17,2.41542715955529e-18,5.67381582134891e-09,6.34156564201889e-13,0.000159963206722607,3.51002487323797e-29,8.93682044746268e-32
"G160TS8B.03",0.999794491354479,0.000187766018928085,4.25647307761347e-30,1.7739157817408e-05,5.36618946033057e-22,2.08600570797187e-29,3.27014902599549e-53,9.38909370144402e-23,3.4687759941426e-09,2.22234610131068e-18,2.05701065850717e-43,4.55665626784337e-54,2.95943555763473e-60
"G160TT11.03",3.83344816485337e-52,1.53542745289208e-28,0.999408519282079,4.0927052504912e-71,2.34474318837808e-13,0.000591340620001197,1.00076907166657e-07,3.75526913625887e-08,4.44960726933542e-20,2.45534679869115e-09,9.91663718159453e-18,1.27402621496294e-11,4.70738811396025e-23
"G160TTWT.03",0.978103378899098,0.0218539100156112,1.04788094508725e-28,6.82596064469943e-11,3.36634990095368e-20,5.77245218716823e-24,1.27929161102109e-53,1.82658115929898e-12,4.27109532478349e-05,6.19570076952826e-11,1.2264780453115e-44,2.46589461350349e-48,2.17613901489857e-47
"G160TZJT.03",1.68113538123771e-59,4.71861383970081e-35,0.993204732789292,3.71757906522462e-70,6.73391047741415e-13,1.8742366372047e-05,0.00677651290644206,2.20032976518663e-11,2.47748406373534e-22,2.94697267089422e-15,1.17560196143205e-09,1.07396126027825e-08,7.99401452159209e-22
"G160VTLL.03",1.76050768871277e-12,0.00346381651170748,0.000131050117426219,3.19046030672211e-34,3.11823468621162e-05,1.45599153909258e-06,4.36769187163726e-23,0.0226574297280284,0.964014562893697,0.00970050240897883,5.12288796663755e-19,1.19505710805828e-24,9.17051019470846e-29
"G160W1ZG.03",7.59886521589863e-28,3.5277942460478e-13,6.15870714216519e-05,1.03172722006812e-44,5.22569367659118e-17,9.48336267869029e-09,3.28604968511894e-28,0.9518082341078,5.46440904791491e-11,0.0481301692824186,3.27582473131406e-29,2.77170255588411e-26,1.38242047373434e-33
"H160SFDH.03",0.452904539876731,4.28576870074946e-08,3.09807620414901e-36,0.547095416291797,7.30835321314798e-26,1.33782303022255e-33,3.15114568675978e-61,3.15918882008877e-21,9.7378465826579e-10,1.79516406489146e-25,1.20599493348426e-45,1.2515323993461e-56,3.81112187790532e-62
"H160STV8.03",0.999267703088833,0.000724362938974304,1.75359141188488e-26,5.61729333525498e-06,8.70932944018679e-17,1.18836991593481e-25,2.97439345809365e-47,1.16362953368447e-15,2.31667885448177e-06,1.60285969213853e-15,1.78217617291764e-32,8.47941141139577e-48,1.58948629496081e-50
